Opening,Opening.1,Title,Director,Cast,Genre,Notes,Ref
J A N,4,Kalla Thuppakki,Logiyas,"Kutty Anand, Sampath Ram, Viccy, Prabhakaran, Sravanthika",Comedy,Produced by Thithir Film,[3]
J A N,4,Kanavu Kadhalan,Thiruna Annan,"Udhay, Saritha Yadav, Meera Krishnan",Romance,Produced by Dream Merchant Films,[3]
J A N,4,Kurumbukara Pasanga,T. Samydurai,"Sanjeev, Monica, Manobala, Pandiarajan",Drama,Produced by Sri Periyayi Pictures,[3]
J A N,4,Mayil Paarai,P. Siva Kumar,,Romance,Produced by Om Shree Lakshmi Films,[3]
J A N,4,Nanbargal Gavanathirkku,K. Jayakumar,"Sanjeev, Manishajith, Varshan",Drama,Produced by Green Channel Entertainment,[3]
J A N,4,Nimidangal,Geetha Krishna,"Shashank, Priyanka, Suman, Atul Kulkarni",Crime,Produced by Blue Fox Cinema,[3]
J A N,11,Alex Pandian,Suraj,"Karthi, Anushka Shetty, Santhanam, Nikita Thukral, Milind Soman, Suman",Action,Produced by Studio Green,[4]
J A N,13,Kanna Laddu Thinna Aasaiya,K. S. Manikandan,"Santhanam, Sethu, Srinivasan, Vishakha Singh",Comedy,Produced by Hand Made Films & Sri Thenandal Films,[4]
J A N,13,Samar,Thiru,"Vishal, Trisha Krishnan, Sunaina",Action,Produced by Balaji Real Media,[4]
J A N,14,Puthagam,Vijay Adhiraj,"Sathya, Jagapati Babu, Rakul Preet Singh, Sanjay Bharathi, Rachana Maurya",Drama,Produced by Ram Pictures Private Limited,[4]
J A N,14,Vijayanagaram,Tanveer,"Sivan, Hasini, Bhanu Chander, Aryan",Drama,Produced by SMK,[4]
J A N,25,Pathayeram Kodi,Srinivasan Sundar,"Dhruv Bhandari, Madalasa Sharma, Vivek, Kanishka Soni",Comedy,Produced by Maya Creations,[5]
F E B,1,Kadal,Mani Ratnam,"Gautham Karthik, Thulasi Nair, Arvind Swamy, Arjun, Lakshmi Manchu",Drama,Produced by Madras Talkies,[6]
F E B,1,David,Bejoy Nambiar,"Vikram, Jiiva, Tabu, Isha Sharvani, Lara Dutta",Drama,Produced by Reliance MediaWorks,[6]
F E B,7,Vishwaroopam,Kamal Haasan,"Kamal Haasan, Pooja Kumar, Rahul Bose, Andrea Jeremiah",Spy thriller,Produced by Rajkamal International Released worldwide on 25 January 2013,[7]
F E B,14,Nesam Nesapaduthe,Rajasuriyan,"Vendhan, Arasi, Ragava",Romance,,[8]
